pdf_name,page,ms,used_text_layer,has_akkadian,llm_applied,timestamp
"Anatolica 28, 2002.pdf",113,56,True,False,False,2025-10-09T19:03:48.672390
"Oz, E. & I. Albayrak - 1963 Yılı Kültepe Kazısında Ele Geçen Altı Yeni Tablet. ArAn 8.2, 2005 21-45.pdf",19,99,True,False,False,2025-10-09T19:03:48.785811
Kt c-k (Dercksen).pdf,745,122,True,True,False,2025-10-09T19:03:48.908651
"Bilgic, E. & C. Gunbatti - Ankaraner Kultepe-Texte III. (AKT 3) FAOSB 3, 1995.pdf",93,905,True,False,False,2025-10-09T19:03:49.814402
vonDassowdiss.pdf,167,545,True,False,False,2025-10-09T19:03:50.399051
afo_realien.pdf,175,733,True,False,False,2025-10-09T19:03:51.132460
"ACC, 1970.pdf",238,66,True,False,False,2025-10-09T19:03:51.199780
"AfO - Assyriologie, Register (1978-2004).pdf",437,150,True,True,False,2025-10-09T19:03:52.148608
"AnSt 14, 1964.pdf",104,45,True,False,False,2025-10-09T19:03:54.176077
"Walker, C. & M. Dick - The Induction of the Cult Image in Ancient Mesopotamia. The Mesopotamian Mis Pi Ritual. SAALT 1, 2001.pdf",20,193,True,False,False,2025-10-09T19:03:54.370028
"Bongenaar, A.C.V.M. - Interdependency of Institutions and Private Entrepreneurs, MOS 2. PIHANS 87, 2000.pdf",161,5839,True,False,False,2025-10-09T19:04:00.210406
"Veenhof, K. & Eidem, J. - Mesopotamia, The Old Assyrian Period. OBO 160.5, 2008 (1).pdf",161,131,True,False,False,2025-10-09T19:04:00.342732
KAV.pdf,58,3260,True,False,False,2025-10-09T19:04:03.675479
"Buccellati, Federiko - Altassyrische Glyptik. Eine Inhaltliche und Methodologische Annaherung. Diss Tubingen 2005.pdf",291,105,True,False,False,2025-10-09T19:04:03.781326
Hertel_2013_OAAS6_OA legal practices.pdf,393,413,True,False,False,2025-10-09T19:04:04.338927
"EL 1, 1930.pdf",229,2149,True,False,False,2025-10-09T19:04:06.489088
yakubovich_diss_2008.pdf,417,67,True,False,False,2025-10-09T19:04:06.615406
"AnSt 40, 1990.pdf",213,4682,True,False,False,2025-10-09T19:04:11.298600
"Albayrak, Irfan - Kultepe Tabletleri IV. VI. Dizi - Sa. 33b, 2006.pdf",126,62,True,True,False,2025-10-09T19:04:11.821390
afo_realien.pdf,3178,388,True,False,False,2025-10-09T19:04:12.210442
"Dercksen, J. G. ed - Anatolia and the Jazira During the Old Assyrian Period. PIHANS 111, 2008 (2).pdf",33,110,True,False,False,2025-10-09T19:04:12.320964
Palmisano_PhD_2015.pdf,50,97,True,False,False,2025-10-09T19:04:12.463435
RGTC-12_2 Belmonte.pdf,244,6012,True,False,False,2025-10-09T19:04:18.475891
"AnSt 45, 1995.pdf",224,33,True,False,False,2025-10-09T19:04:18.509421
CAD (A-N).pdf,2660,604,True,False,False,2025-10-09T19:04:19.480298
"CMK, 2001.pdf",445,886,True,True,False,2025-10-09T19:04:20.367569
"GKT, 1968.pdf",272,667,True,True,False,2025-10-09T19:04:21.035215
"AnSt 44, 1994.pdf",102,35,True,False,False,2025-10-09T19:04:22.191525
AKT 6a.pdf,167,137,True,False,False,2025-10-09T19:04:23.081756
AKT 11a.pdf,70,24,True,False,False,2025-10-09T19:04:23.717928
"Stein, Gil Jeremy - Pastoral Production in Complex Societies. Diss U Penn 1988.pdf",287,63,True,False,False,2025-10-09T19:04:23.781899
"Kienast, Burkhart - Das Altassyrische Kaufvertragsrecht. FAOSB 1, 1984.pdf",61,2172,True,True,False,2025-10-09T19:04:27.743650
"AnSt 29, 1979.pdf",170,4239,True,False,False,2025-10-09T19:04:31.983907
"AnSt 44, 1994.pdf",222,36,True,False,False,2025-10-09T19:04:32.020980
King Gates Shalmaneser.pdf,113,4413,True,False,False,2025-10-09T19:04:43.799758
AfO Register  (1978-2004).pdf,395,4680,True,False,False,2025-10-09T19:04:48.480678
"Larsen, M. T. - AKT 6a, 2010.pdf",184,52,True,True,False,2025-10-09T19:04:48.533326
Radau BE 17 1.pdf,200,120,True,False,False,2025-10-09T19:04:49.843975
"AnSt 27, 1977.pdf",36,2657,True,False,False,2025-10-09T19:05:11.005873
"Michel, Cecile ed. - Old Assyrian Studies in Memory of Paul Garelli. PIHANS 112, 2008.pdf",10,85,True,False,False,2025-10-09T19:05:11.092064
"AnSt 7, 1957.pdf",54,31,True,False,False,2025-10-09T19:05:12.431014
KBo1-4.pdf,128,196,True,False,False,2025-10-09T19:05:22.411542
"Anatolica 34, 2008.pdf",105,2183,True,False,False,2025-10-09T19:05:24.804079
"Barjamovic, Gojko - A Historical Geography of Ancient Anatolia in the Assyrian Colony Period. CNI 38, 2011.pdf",245,60,True,False,False,2025-10-09T19:05:25.310743
Krebernik_04_schultext.pdf,11,456,True,True,False,2025-10-09T19:05:25.767863
"Postgate, Nicholas - The Land of Assur & the Yoke of Assur (2008).pdf",23,1079,True,False,False,2025-10-09T19:05:26.848079
Langdon PBS 10 4.pdf,21,80,True,False,False,2025-10-09T19:05:26.929281
"Barjamovic, G., Hertel, T. & M. Larsen - Ups and Downs. 2012 (preprint).pdf",112,924,True,True,False,2025-10-09T19:05:27.854232
"AnSt 22, 1972.pdf",213,5357,True,False,False,2025-10-09T19:05:33.211679
"Veenhof, Klaas R. - Aspects of Old Assyrian Trade and Terminology. SD 10, 1972.pdf",232,141,True,True,False,2025-10-09T19:05:33.475459
"GKT, 1968.pdf",90,62,True,True,False,2025-10-09T19:05:33.538229
"AnSt 44, 1994.pdf",197,41,True,False,False,2025-10-09T19:05:33.579746
"Klinkott, Kubisch, and Muller-Wollermann, eds - Geschenke und Steuern, Zolle und Tribute. CHANE 29, 2007.pdf",195,91,True,False,False,2025-10-09T19:05:33.671628
"Anatolica 31, 2005.pdf",74,2677,True,False,False,2025-10-09T19:05:40.458662
"Barjamovic, Gojko - A Historical Geography of Ancient Anatolia in the Assyrian Colony Period. CNI 38, 2011.pdf",395,309,True,False,False,2025-10-09T19:05:40.768883
