pdf_path,page_no,success,processing_time,error,timestamp
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Melchert_LUVLEX.pdf,288,True,2.60,,2025-10-09T12:02:10.432356
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Albayrak_2005_JEOL39_5urkunden.PDF,5,True,2.47,,2025-10-09T12:02:12.906879
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AAA 1-2, 1908-9.pdf",137,True,2.01,,2025-10-09T12:02:14.914144
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\kupper1973 (1).PDF,10,True,16.42,,2025-10-09T12:02:31.332982
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 34, 1984.pdf",5,True,3.65,,2025-10-09T12:02:34.987906
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\klengel1969.PDF,2,True,19.60,,2025-10-09T12:02:54.587315
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\ICK 2, 1962.pdf",139,True,0.84,,2025-10-09T12:02:55.427176
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\pardee1978d (3).PDF,2,True,14.94,,2025-10-09T12:03:10.367210
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Anatolica 28, 2002.pdf",66,True,20.79,,2025-10-09T12:03:31.156013
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Dercksen 2004 Old Assyrian Institutions PIHANS-98.pdf,115,True,1.66,,2025-10-09T12:03:32.812606
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Michel C.- Old Assyrian Bibliography (OAAS 1 -PIHANS 97, 2003) (OCR).pdf",103,True,0.65,,2025-10-09T12:03:33.463110
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Marzahn, J & Salje, B. eds. - Wiedererstehendes Assur. 100 Jahre deutsche Ausgrabungen in Assyrien. 2003.pdf",181,True,2.49,,2025-10-09T12:03:35.953379
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\parry1999.PDF,50,True,13.36,,2025-10-09T12:03:49.319095
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 13, 1963.pdf",96,True,5.73,,2025-10-09T12:03:55.050071
